Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_RA,PyBDSF_separation,RC_host,RC_host_RA,RC_host_Dec,RC_separation,file_path
5027,242.049,54.8658,1C_1P,0.9962,242.0214,54.8451,242.0133,54.85,242.0167,54.847,-,-1.0,-1.0,897792.6820696938,-,-1.0,-1.0,897664.1968949493,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5027_infraredctmask_pred.png
5027,242.049,54.8658,1C_1P,0.9941,242.0537,54.8609,242.0495,54.8635,242.0511,54.8618,-,-1.0,-1.0,897792.6820696938,-,-1.0,-1.0,897796.8242979209,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5027_infraredctmask_pred.png
5027,242.049,54.8658,1C_1P,0.9701,242.0415,54.8541,242.0383,54.8561,242.0405,54.8548,-,-1.0,-1.0,897792.6820696938,-,-1.0,-1.0,897753.989392327,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5027_infraredctmask_pred.png
5570,241.63299999999998,53.4602,1C_1P,0.9918,241.6407,53.4754,241.63,53.4817,241.6359,53.4779,2416p530_ac51-044922,241.6329,241.6329,1.835647024884108,2416p530_ac51-044536,241.6359,53.4786,2.5200000000069167,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5570_infraredctmask_pred.png
5570,241.63299999999998,53.4602,1C_1P,0.9729,241.6346,53.458999999999996,241.6317,53.4608,241.6335,53.4601,2416p530_ac51-044922,241.6329,241.6329,1.835647024884108,2416p530_ac51-044922,241.6329,53.4607,3.054701294718766,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5570_infraredctmask_pred.png
5696,241.408,55.6849,1C_1P,0.9968,241.3936,55.7022,241.3872,55.7061,241.3913,55.70399999999999,2426p560_ac51-013267,241.4081,241.4081,0.804984471903768,2426p560_ac51-013527,241.3914,55.7045,1.835647024929257,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5696_infraredctmask_pred.png
5696,241.408,55.6849,1C_1P,0.9918,241.4087,55.684,241.4052,55.6862,241.4084,55.685,2426p560_ac51-013267,241.4081,241.4081,0.804984471903768,2426p560_ac51-013267,241.4081,55.6851,1.1384199576903191,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5696_infraredctmask_pred.png
5696,241.408,55.6849,1C_1P,0.9629,241.4115,55.6841,241.4078,55.6862,241.4087,55.6851,2426p560_ac51-013267,241.4081,241.4081,0.804984471903768,2426p560_ac51-013267,241.4081,55.6851,2.1600000000717046,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5696_infraredctmask_pred.png
5032,242.044,54.777,1C_3P,0.9994,242.0598,54.7617,242.0227,54.7821,242.0412,54.7712,2425p545_ac51-043881,242.0411,242.0411,11.923556516437223,2425p545_ac51-041597,242.0405,54.7718,3.319036004607993,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5032_infraredctmask_pred.png
5947,241.176,55.1587,1C_1P,0.9861,241.1769,55.1581,241.1731,55.1604,241.1755,55.159,2400p545_ac51-053575,241.1756,241.1756,2.595996918299644,2400p545_ac51-053575,241.1756,55.1593,1.1384199576741414,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5947_infraredctmask_pred.png
5947,241.176,55.1587,1C_1P,0.9562,241.1366,55.1624,241.1334,55.1644,241.1357,55.1632,2400p545_ac51-053575,241.1756,241.1756,2.595996918299644,2400p545_ac51-054098,241.1358,55.1633,0.5091168823807778,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5947_infraredctmask_pred.png
1631,244.588,54.1697,1C_1P,0.997,244.5894,54.1684,244.5846,54.1717,244.588,54.1698,-,-1.0,-1.0,906150.5468659643,-,-1.0,-1.0,906150.6257711675,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1631_infraredctmask_pred.png
5784,241.326,55.4634,1C_1P,0.9992,241.3274,55.4618,241.3216,55.4653,241.3257,55.4632,-,-1.0,-1.0,895741.9691907137,-,-1.0,-1.0,895740.7539785721,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5784_infraredctmask_pred.png
4637,242.40200000000002,53.2976,1C_1P,0.9992,242.4036,53.2958,242.3972,53.2997,242.4017,53.2976,2416p530_ac51-047259,242.4013,242.4013,2.5200000000836553,2416p530_ac51-047259,242.4013,53.2976,1.440000000047803,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4637_infraredctmask_pred.png
2683,243.847,56.0617,1C_1P,0.9983,243.8101,56.0573,243.8071,56.0593,243.8085,56.0581,-,-1.0,-1.0,905069.577196104,-,-1.0,-1.0,904931.6530458339,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2683_infraredctmask_pred.png
